"Participant","Sex","Condition","Item","Real","Attractive","Beauty"
"S045","Female","Photograph","NM-1104",0.666666666666667,0.333333333333333,0.333333333333333
"S045","Female","AI-Generated","NM-1102",0.333333333333333,0.333333333333333,0.333333333333333
"S045","Female","AI-Generated","NM-1029",0.333333333333333,0.666666666666667,0.5
"S045","Female","AI-Generated","NM-1091",0.166666666666667,0.5,0.333333333333333
"S045","Female","AI-Generated","NM-1010",0.166666666666667,0.333333333333333,0.333333333333333
"S045","Female","Photograph","NM-1070",0.666666666666667,0.333333333333333,0.333333333333333
"S045","Female","AI-Generated","NM-1033",0,0.166666666666667,0.166666666666667
"S045","Female","Photograph","NM-1064",0.5,0.333333333333333,0.333333333333333
"S045","Female","AI-Generated","NM-1092",0.166666666666667,0.333333333333333,0.333333333333333
"S045","Female","Photograph","NM-1038",0.833333333333333,0.666666666666667,0.666666666666667
"S045","Female","Photograph","NM-1055",0.166666666666667,0.333333333333333,0.333333333333333
"S045","Female","Photograph","NM-1035",0.666666666666667,0.666666666666667,0.5
"S045","Female","Photograph","NM-1011",0.166666666666667,0.666666666666667,0.666666666666667
"S045","Female","AI-Generated","NM-1027",0.333333333333333,0.5,0.5
"S045","Female","Photograph","NM-1090",0.666666666666667,0.5,0.5
"S045","Female","Photograph","NM-1058",1,0.833333333333333,0.666666666666667
"S045","Female","AI-Generated","NM-1074",0.833333333333333,0.666666666666667,0.666666666666667
"S045","Female","AI-Generated","NM-1007",0.333333333333333,0.333333333333333,0.333333333333333
"S045","Female","AI-Generated","NM-1019",0,0.5,0.5
"S045","Female","Photograph","NM-1052",0.833333333333333,0.333333333333333,0.333333333333333
"S157","Female","Photograph","NM-1091",0.166666666666667,0,0
"S157","Female","AI-Generated","NM-1035",0.166666666666667,0,0
"S157","Female","Photograph","NM-1055",0.333333333333333,0,0
"S157","Female","Photograph","NM-1092",0.166666666666667,0,0
"S157","Female","Photograph","NM-1007",0.333333333333333,0,0
"S157","Female","Photograph","NM-1052",0.166666666666667,0,0
"S157","Female","AI-Generated","NM-1090",0.166666666666667,0,0
"S157","Female","AI-Generated","NM-1070",0.333333333333333,0,0
"S157","Female","AI-Generated","NM-1038",0.333333333333333,0,0
"S157","Female","Photograph","NM-1011",0.666666666666667,0,0
"S157","Female","AI-Generated","NM-1010",0.166666666666667,0,0
"S157","Female","AI-Generated","NM-1027",0.5,0,0
"S157","Female","Photograph","NM-1033",0.333333333333333,0,0
"S157","Female","AI-Generated","NM-1058",0.333333333333333,0.833333333333333,0.666666666666667
"S157","Female","Photograph","NM-1064",0.666666666666667,0,0
"S157","Female","Photograph","NM-1104",0.833333333333333,0,0
"S157","Female","Photograph","NM-1102",0.833333333333333,0,0
"S157","Female","AI-Generated","NM-1074",0.166666666666667,0,0
"S157","Female","AI-Generated","NM-1029",0.666666666666667,0,0
"S157","Female","AI-Generated","NM-1019",0.666666666666667,0,0
"S219","Female","AI-Generated","NM-1070",0.833333333333333,0.333333333333333,0.333333333333333
"S219","Female","AI-Generated","NM-1091",0.666666666666667,0.166666666666667,0.5
"S219","Female","Photograph","NM-1064",0.833333333333333,0.5,0.333333333333333
"S219","Female","AI-Generated","NM-1010",0.333333333333333,0.333333333333333,0.166666666666667
"S219","Female","AI-Generated","NM-1058",0.333333333333333,0.5,0.5
"S219","Female","Photograph","NM-1038",0.833333333333333,0.5,0.5
"S219","Female","Photograph","NM-1035",0.5,0.5,0.5
"S219","Female","AI-Generated","NM-1029",0.166666666666667,0.5,0.5
"S219","Female","Photograph","NM-1104",0.166666666666667,0.333333333333333,0.333333333333333
"S219","Female","Photograph","NM-1007",0.166666666666667,0.333333333333333,0.333333333333333
"S219","Female","Photograph","NM-1011",0.333333333333333,0.666666666666667,0.666666666666667
"S219","Female","AI-Generated","NM-1102",0.666666666666667,0.333333333333333,0.333333333333333
"S219","Female","AI-Generated","NM-1019",0.666666666666667,0.5,0.5
"S219","Female","AI-Generated","NM-1052",0.833333333333333,0.5,0.666666666666667
"S219","Female","Photograph","NM-1074",0.166666666666667,0.5,0.5
"S219","Female","Photograph","NM-1090",0.333333333333333,0.333333333333333,0.333333333333333
"S219","Female","AI-Generated","NM-1092",0.5,0.333333333333333,0.333333333333333
"S219","Female","Photograph","NM-1033",0.333333333333333,0.5,0.333333333333333
"S219","Female","AI-Generated","NM-1055",0.166666666666667,0.5,0.333333333333333
"S219","Female","Photograph","NM-1027",0.5,0.333333333333333,0.333333333333333
"S208","Female","AI-Generated","NF-1015",0.666666666666667,0.333333333333333,0.5
"S208","Female","Photograph","NF-1101",0.833333333333333,0.666666666666667,0.666666666666667
"S208","Female","AI-Generated","NF-1040",0.833333333333333,0.333333333333333,0.333333333333333
"S208","Female","Photograph","NF-1077",0.333333333333333,0.333333333333333,0.333333333333333
"S208","Female","Photograph","NF-1098",0.666666666666667,0.666666666666667,0.666666666666667
"S208","Female","AI-Generated","NF-1031",0.833333333333333,0.166666666666667,0.333333333333333
"S208","Female","AI-Generated","NF-1097",0.833333333333333,0.833333333333333,0.666666666666667
"S208","Female","AI-Generated","NF-1048",0.333333333333333,0.166666666666667,0.333333333333333
"S208","Female","AI-Generated","NF-1069",1,0.5,0.5
"S208","Female","Photograph","NF-1016",0.333333333333333,0.666666666666667,0.666666666666667
"S208","Female","Photograph","NF-1024",0.333333333333333,0.666666666666667,0.333333333333333
"S208","Female","AI-Generated","NF-1060",0.666666666666667,0.333333333333333,0.5
"S208","Female","Photograph","NF-1034",0.666666666666667,0,0.333333333333333
"S208","Female","AI-Generated","NF-1020",0.666666666666667,0.5,0.333333333333333
"S208","Female","Photograph","NF-1110",0.333333333333333,0.5,0.333333333333333
"S208","Female","AI-Generated","NF-1006",0.5,0.166666666666667,0.333333333333333
"S208","Female","AI-Generated","NF-1008",0.666666666666667,0.666666666666667,0.666666666666667
"S208","Female","AI-Generated","NF-1030",1,0.666666666666667,0.5
"S208","Female","Photograph","NF-1082",0.166666666666667,0.333333333333333,0.333333333333333
"S208","Female","AI-Generated","NF-1042",0.5,0.5,0.333333333333333
"S208","Female","AI-Generated","NF-1085",0.5,0.666666666666667,0.5
"S208","Female","AI-Generated","NF-1108",0.166666666666667,0.5,0.5
"S208","Female","Photograph","NF-1056",0.833333333333333,0.666666666666667,0.5
"S208","Female","Photograph","NF-1088",0.333333333333333,0.333333333333333,0.5
"S208","Female","Photograph","NF-1087",0.833333333333333,0.666666666666667,0.5
"S208","Female","AI-Generated","NF-1065",0.666666666666667,0.666666666666667,0.666666666666667
"S208","Female","Photograph","NF-1045",0.5,0.333333333333333,0.666666666666667
"S208","Female","Photograph","NF-1026",0.666666666666667,0.333333333333333,0.666666666666667
"S208","Female","Photograph","NF-1050",0.333333333333333,0.333333333333333,0.5
"S208","Female","AI-Generated","NF-1066",0.333333333333333,0.833333333333333,0.666666666666667
"S208","Female","AI-Generated","NF-1017",0.5,0.5,0.666666666666667
"S208","Female","Photograph","NF-1075",0.833333333333333,0.333333333333333,0.5
"S208","Female","AI-Generated","NF-1001",0.166666666666667,0.666666666666667,0.5
"S208","Female","AI-Generated","NF-1086",0.166666666666667,0.5,0.666666666666667
"S208","Female","Photograph","NF-1054",0.166666666666667,0.5,0.666666666666667
"S208","Female","Photograph","NF-1061",0.833333333333333,0.666666666666667,0.5
"S208","Female","Photograph","NF-1032",0.166666666666667,0.5,0.333333333333333
"S208","Female","Photograph","NF-1037",0.333333333333333,0.166666666666667,0.333333333333333
"S208","Female","AI-Generated","NF-1072",0.833333333333333,0.5,0.333333333333333
"S208","Female","Photograph","NF-1059",0.333333333333333,0.333333333333333,0.5
"S208","Female","AI-Generated","NF-1053",0.833333333333333,0.5,0.666666666666667
"S208","Female","Photograph","NF-1046",0.333333333333333,0.666666666666667,0.666666666666667
"S208","Female","Photograph","NF-1028",0.833333333333333,0.5,0.666666666666667
"S208","Female","AI-Generated","NF-1062",0.166666666666667,0.5,0.666666666666667
"S208","Female","AI-Generated","NF-1009",0.666666666666667,0.5,0.166666666666667
"S208","Female","AI-Generated","NF-1057",0.833333333333333,0.5,0.5
"S208","Female","AI-Generated","NF-1014",0.333333333333333,0.333333333333333,0.666666666666667
"S208","Female","AI-Generated","NF-1083",0.333333333333333,0.333333333333333,0.833333333333333
"S208","Female","Photograph","NF-1023",0.833333333333333,0.666666666666667,0.333333333333333
"S208","Female","Photograph","NF-1044",0.5,0.5,0.666666666666667
"S208","Female","Photograph","NF-1012",0.166666666666667,0.5,0.5
"S208","Female","Photograph","NF-1039",0.833333333333333,0.333333333333333,0.333333333333333
"S208","Female","AI-Generated","NF-1109",0.833333333333333,0.333333333333333,0.5
"S208","Female","Photograph","NF-1079",0.833333333333333,0.333333333333333,0.5
"S208","Female","AI-Generated","NF-1105",0.833333333333333,0.5,0.5
"S208","Female","AI-Generated","NF-1004",0.666666666666667,0.333333333333333,0.5
"S208","Female","Photograph","NF-1003",0.333333333333333,0.333333333333333,0.333333333333333
"S208","Female","AI-Generated","NF-1022",0.333333333333333,0.666666666666667,0.5
"S208","Female","Photograph","NF-1094",0.666666666666667,0.5,0.666666666666667
"S208","Female","AI-Generated","NF-1076",0.833333333333333,0.833333333333333,0.833333333333333
"S208","Female","AI-Generated","NF-1025",0.666666666666667,0.5,0.666666666666667
"S208","Female","Photograph","NF-1089",0.333333333333333,0.5,0.5
"S208","Female","Photograph","NF-1021",0.333333333333333,0.5,0.666666666666667
"S208","Female","Photograph","NF-1095",0.666666666666667,0.333333333333333,0.333333333333333
"S208","Female","AI-Generated","NF-1063",0.666666666666667,0.333333333333333,0.5
"S208","Female","Photograph","NF-1084",0.833333333333333,0.333333333333333,0.5
"S208","Female","AI-Generated","NF-1099",0.166666666666667,0.333333333333333,0.333333333333333
"S208","Female","Photograph","NF-1096",0.833333333333333,0.5,0.5
"S208","Female","Photograph","NF-1073",0.833333333333333,0.5,0.666666666666667
"S208","Female","Photograph","NF-1018",0.5,0.5,0.5
"S208","Female","Photograph","NF-1036",0.333333333333333,0.5,0.666666666666667
"S208","Female","AI-Generated","NF-1068",0.166666666666667,0.5,0.5
"S208","Female","AI-Generated","NF-1005",0.666666666666667,0.333333333333333,0.5
"S208","Female","Photograph","NF-1067",0.833333333333333,0.5,0.5
"S208","Female","Photograph","NF-1041",0.833333333333333,0.666666666666667,0.5
"S208","Female","AI-Generated","NF-1049",0.666666666666667,0.333333333333333,0.333333333333333
"S208","Female","Photograph","NF-1013",0.833333333333333,0.5,0.5
"S208","Female","Photograph","NF-1002",0.333333333333333,0.5,0.666666666666667
"S208","Female","Photograph","NF-1043",0.833333333333333,0.5,0.5
"S208","Female","AI-Generated","NF-1080",0.333333333333333,0.5,0.666666666666667
"S208","Female","Photograph","NF-1051",0.5,0.666666666666667,0.5
"S208","Female","AI-Generated","NF-1081",0.333333333333333,0.333333333333333,0.333333333333333
"S208","Female","Photograph","NF-1071",0.333333333333333,0.666666666666667,0.333333333333333
"S208","Female","Photograph","NF-1100",0.333333333333333,0.5,0.666666666666667
"S208","Female","AI-Generated","NF-1093",0.833333333333333,0.5,0.333333333333333
"S208","Female","AI-Generated","NF-1103",0.666666666666667,0.5,0.666666666666667
"S208","Female","AI-Generated","NF-1107",0.333333333333333,0.333333333333333,0.5
"S208","Female","AI-Generated","NF-1047",0.666666666666667,0.333333333333333,0.333333333333333
"S208","Female","AI-Generated","NF-1106",0.333333333333333,0.333333333333333,0.333333333333333
"S134","Female","Photograph","NF-1095",0,0.5,0.5
"S134","Female","Photograph","NF-1043",0,0.666666666666667,0.666666666666667
"S134","Female","AI-Generated","NF-1039",0,0,0
"S134","Female","AI-Generated","NF-1006",1,0,0
"S134","Female","Photograph","NF-1084",0.5,0.5,0.666666666666667
"S134","Female","AI-Generated","NF-1018",0,0.666666666666667,0.666666666666667
"S134","Female","AI-Generated","NF-1037",0.166666666666667,0,0
"S134","Female","AI-Generated","NM-1091",0,0,0
"S134","Female","Photograph","NF-1014",1,0,0
"S134","Female","Photograph","NF-1079",1,0,0
"S134","Female","Photograph","NF-1001",0,0,0
"S134","Female","Photograph","NF-1071",0,0,0
"S134","Female","AI-Generated","NF-1088",1,0.5,0.5
"S134","Female","Photograph","NF-1089",0,0,0
"S134","Female","AI-Generated","NF-1009",0,0.666666666666667,0.5
"S134","Female","AI-Generated","NF-1054",0,0,0
"S134","Female","Photograph","NF-1100",0,0.333333333333333,0
"S134","Female","Photograph","NM-1070",0,0.5,0.5
"S134","Female","AI-Generated","NF-1053",0,0,0
"S134","Female","Photograph","NF-1093",1,0.5,0.5
"S134","Female","AI-Generated","NF-1085",0.5,0,0
"S134","Female","Photograph","NM-1092",0,0,0
"S134","Female","AI-Generated","NF-1059",1,0,0
"S134","Female","AI-Generated","NF-1049",0,0.166666666666667,0.333333333333333
"S134","Female","Photograph","NF-1077",0,0,0
"S134","Female","Photograph","NM-1052",0,0,0
"S134","Female","Photograph","NF-1016",0,0.5,0
"S134","Female","AI-Generated","NF-1048",0,0,0
"S134","Female","AI-Generated","NF-1032",0,0.5,0
"S134","Female","Photograph","NF-1110",0,0,0
"S134","Female","Photograph","NF-1004",1,0,0
"S134","Female","Photograph","NF-1062",1,0.5,0.5
"S134","Female","Photograph","NF-1083",1,0,0
"S134","Female","AI-Generated","NF-1060",1,0.166666666666667,0.5
"S134","Female","Photograph","NF-1028",0,0.5,0.5
"S134","Female","AI-Generated","NF-1097",1,0.333333333333333,0.5
"S134","Female","AI-Generated","NF-1030",0,0,0
"S134","Female","Photograph","NF-1050",1,0,0
"S134","Female","AI-Generated","NF-1021",0.5,0,0
"S134","Female","Photograph","NF-1069",1,0,0
"S134","Female","Photograph","NF-1066",0,0,0
"S134","Female","AI-Generated","NF-1056",1,0.5,0.5
"S134","Female","Photograph","NF-1080",1,0,0
"S134","Female","Photograph","NF-1094",0,0.5,0.5
"S134","Female","Photograph","NM-1033",0.5,0,0
"S134","Female","AI-Generated","NM-1035",1,0.333333333333333,0.5
"S134","Female","Photograph","NF-1086",1,0.5,0.666666666666667
"S134","Female","Photograph","NM-1038",0,0,0
"S134","Female","AI-Generated","NF-1020",0,0,0
"S134","Female","Photograph","NF-1082",1,0.5,0.5
"S134","Female","Photograph","NF-1023",1,0,0
"S134","Female","Photograph","NF-1103",1,0,0
"S134","Female","AI-Generated","NF-1005",1,0.666666666666667,0.666666666666667
"S134","Female","AI-Generated","NM-1058",1,0.5,0.5
"S134","Female","Photograph","NF-1031",0,0,0
"S134","Female","Photograph","NF-1072",0.5,0.5,0.5
"S134","Female","AI-Generated","NF-1026",1,0,0
"S134","Female","AI-Generated","NF-1099",1,0.333333333333333,0.5
"S134","Female","AI-Generated","NF-1101",1,0,0
"S134","Female","AI-Generated","NF-1107",1,0,0
"S134","Female","Photograph","NF-1067",0,0.333333333333333,0.333333333333333
"S134","Female","AI-Generated","NF-1051",0,0.333333333333333,0.166666666666667
"S134","Female","AI-Generated","NF-1065",0,0.5,0.5
"S134","Female","Photograph","NF-1046",1,0.333333333333333,0
"S134","Female","AI-Generated","NF-1002",0,0,0
"S134","Female","Photograph","NF-1041",1,0.166666666666667,0.166666666666667
"S134","Female","Photograph","NM-1029",1,0,0
"S134","Female","AI-Generated","NF-1034",0,0,0
"S134","Female","AI-Generated","NF-1042",1,0.333333333333333,0.333333333333333
"S134","Female","Photograph","NF-1015",1,0.166666666666667,0
"S134","Female","AI-Generated","NM-1064",1,0,0
"S134","Female","AI-Generated","NF-1013",1,0,0
"S134","Female","Photograph","NF-1105",1,0.166666666666667,0.333333333333333
"S134","Female","AI-Generated","NM-1090",1,0,0
"S134","Female","AI-Generated","NM-1011",1,0,0
"S134","Female","AI-Generated","NF-1025",0,0,0
"S134","Female","AI-Generated","NF-1022",0,0.333333333333333,0.5
"S134","Female","Photograph","NF-1003",0.166666666666667,0.5,0.5
"S134","Female","AI-Generated","NF-1057",0,0,0
"S134","Female","AI-Generated","NF-1044",0,0,0
"S134","Female","AI-Generated","NF-1061",0,0,0.166666666666667
"S134","Female","Photograph","NF-1024",0,0,0
"S134","Female","Photograph","NM-1055",0,0,0
"S134","Female","AI-Generated","NF-1063",1,0.5,0.666666666666667
"S134","Female","Photograph","NF-1096",0,0.5,0.5
"S134","Female","AI-Generated","NM-1102",0,0,0
"S134","Female","Photograph","NF-1087",0,0,0
"S134","Female","AI-Generated","NM-1027",1,0,0
"S134","Female","Photograph","NF-1076",1,0.5,0.5
"S134","Female","AI-Generated","NF-1017",0,0,0
"S134","Female","Photograph","NM-1104",0,0.5,0.5
"S134","Female","AI-Generated","NF-1073",1,0,0
"S134","Female","Photograph","NF-1008",1,0,0
"S134","Female","AI-Generated","NM-1019",1,0,0
"S134","Female","AI-Generated","NF-1106",0,0.333333333333333,0.666666666666667
"S134","Female","Photograph","NM-1007",1,0,0
"S134","Female","Photograph","NF-1045",1,0.5,0
"S134","Female","AI-Generated","NF-1098",1,0,0
"S134","Female","Photograph","NF-1081",1,0,0
"S134","Female","AI-Generated","NF-1075",1,0,0
"S134","Female","Photograph","NF-1047",1,0,0
"S134","Female","AI-Generated","NF-1012",0,0,0
"S134","Female","AI-Generated","NF-1108",1,0,0
"S134","Female","AI-Generated","NF-1040",1,0,0
"S134","Female","Photograph","NF-1036",1,0,0
"S134","Female","Photograph","NF-1068",1,0,0
"S134","Female","Photograph","NM-1074",0.166666666666667,0,0
"S134","Female","AI-Generated","NM-1010",1,0,0
"S134","Female","Photograph","NF-1109",0,0,0
"S071","Female","AI-Generated","NM-1033",0.833333333333333,0.333333333333333,0.333333333333333
"S071","Female","Photograph","NM-1038",0.666666666666667,0.5,0.5
"S071","Female","AI-Generated","NM-1019",0.666666666666667,0.333333333333333,0.333333333333333
"S071","Female","Photograph","NM-1090",0.833333333333333,0.5,0.5
"S071","Female","AI-Generated","NM-1035",0.666666666666667,0.5,0.5
"S071","Female","Photograph","NM-1104",0.833333333333333,0.333333333333333,0.5
"S071","Female","AI-Generated","NM-1052",1,0.5,0.5
"S071","Female","AI-Generated","NM-1058",1,0.833333333333333,0.833333333333333
"S071","Female","Photograph","NM-1102",0.833333333333333,0.666666666666667,0.833333333333333
"S071","Female","Photograph","NM-1092",0.333333333333333,0.333333333333333,0.333333333333333
"S071","Female","AI-Generated","NM-1091",0.5,0.333333333333333,0.5
"S071","Female","Photograph","NM-1029",0.666666666666667,0.333333333333333,0.333333333333333
"S071","Female","Photograph","NM-1010",0.666666666666667,0.666666666666667,0.5
"S071","Female","Photograph","NM-1070",0.166666666666667,0.5,0.666666666666667
"S071","Female","AI-Generated","NM-1007",0.166666666666667,0.333333333333333,0.5
"S071","Female","AI-Generated","NM-1011",0.833333333333333,0.666666666666667,0.666666666666667
"S071","Female","Photograph","NM-1055",0.833333333333333,0.333333333333333,0.333333333333333
"S071","Female","AI-Generated","NM-1027",1,0.666666666666667,0.666666666666667
"S071","Female","AI-Generated","NM-1064",1,0.5,0.666666666666667
"S071","Female","Photograph","NM-1074",1,0.5,0.666666666666667
"S144","Female","AI-Generated","NM-1074",0.333333333333333,0.166666666666667,0.333333333333333
"S144","Female","AI-Generated","NF-1032",0.666666666666667,0.666666666666667,0.666666666666667
"S144","Female","AI-Generated","NF-1076",0.166666666666667,0.833333333333333,0.833333333333333
"S144","Female","Photograph","NF-1097",0.666666666666667,0.666666666666667,0.666666666666667
"S144","Female","AI-Generated","NF-1034",0.666666666666667,0.5,0.5
"S144","Female","AI-Generated","NF-1001",0.666666666666667,0.166666666666667,0.333333333333333
"S144","Female","Photograph","NF-1071",0.333333333333333,0.5,0.5
"S144","Female","AI-Generated","NM-1007",0.666666666666667,0.333333333333333,0.5
"S144","Female","AI-Generated","NF-1107",0.333333333333333,0.666666666666667,0.666666666666667
"S144","Female","Photograph","NF-1099",0.5,0.5,0.666666666666667
"S144","Female","Photograph","NF-1037",0.666666666666667,0.5,0.5
"S144","Female","AI-Generated","NF-1089",0.333333333333333,0.5,0.5
"S144","Female","AI-Generated","NF-1075",0.666666666666667,0.5,0.5
"S144","Female","AI-Generated","NF-1005",0.5,0.666666666666667,0.666666666666667
"S144","Female","AI-Generated","NM-1091",0.666666666666667,0.333333333333333,0.5
"S144","Female","AI-Generated","NF-1069",0.5,0.5,0.5
"S144","Female","Photograph","NF-1014",0.666666666666667,0.5,0.5
"S144","Female","AI-Generated","NF-1103",0.5,0.5,0.5
"S144","Female","Photograph","NF-1006",0.666666666666667,0.5,0.5
"S144","Female","Photograph","NM-1104",0.666666666666667,0.166666666666667,0.333333333333333
"S144","Female","AI-Generated","NF-1046",0.333333333333333,0.833333333333333,0.833333333333333
"S144","Female","AI-Generated","NF-1109",0.666666666666667,0.333333333333333,0.5
"S144","Female","Photograph","NM-1058",0.666666666666667,0.5,0.666666666666667
"S144","Female","Photograph","NF-1054",0.666666666666667,0.5,0.5
"S144","Female","Photograph","NF-1044",0.666666666666667,0.5,0.5
"S144","Female","AI-Generated","NF-1026",0.333333333333333,0.333333333333333,0.333333333333333
"S144","Female","Photograph","NF-1056",0.333333333333333,0.666666666666667,0.666666666666667
"S144","Female","AI-Generated","NF-1022",0.666666666666667,0.666666666666667,0.666666666666667
"S144","Female","AI-Generated","NM-1011",0.333333333333333,0.333333333333333,0.333333333333333
"S144","Female","Photograph","NF-1095",0.666666666666667,0.5,0.666666666666667
"S144","Female","Photograph","NF-1008",0.5,0.5,0.666666666666667
"S144","Female","AI-Generated","NF-1050",0.5,0.5,0.666666666666667
"S144","Female","Photograph","NF-1060",0.666666666666667,0.333333333333333,0.5
"S144","Female","Photograph","NF-1063",0.333333333333333,0.666666666666667,0.666666666666667
"S144","Female","AI-Generated","NF-1051",0.5,0.333333333333333,0.5
"S144","Female","AI-Generated","NF-1082",0,0.333333333333333,0.5
"S144","Female","Photograph","NF-1066",0.666666666666667,0.666666666666667,0.666666666666667
"S144","Female","AI-Generated","NM-1102",0.666666666666667,0.333333333333333,0.333333333333333
"S144","Female","AI-Generated","NM-1038",0.5,0.333333333333333,0.333333333333333
"S144","Female","Photograph","NF-1077",0.333333333333333,0.333333333333333,0.333333333333333
"S144","Female","AI-Generated","NF-1003",0.666666666666667,0.5,0.666666666666667
"S144","Female","AI-Generated","NF-1040",0.666666666666667,0.5,0.5
"S144","Female","Photograph","NF-1016",0.5,0.666666666666667,0.666666666666667
"S144","Female","Photograph","NF-1015",0.5,0.5,0.666666666666667
"S144","Female","Photograph","NF-1009",0.666666666666667,0.5,0.666666666666667
"S144","Female","Photograph","NF-1096",0.5,0.5,0.5
"S144","Female","Photograph","NF-1100",0.666666666666667,0.666666666666667,0.666666666666667
"S144","Female","Photograph","NF-1061",0.666666666666667,0.666666666666667,0.666666666666667
"S144","Female","AI-Generated","NF-1042",0.5,0.666666666666667,0.5
"S144","Female","Photograph","NF-1093",0.333333333333333,0.333333333333333,0.5
"S144","Female","Photograph","NF-1025",0.5,0.333333333333333,0.333333333333333
"S144","Female","AI-Generated","NF-1057",0.333333333333333,0.333333333333333,0.5
"S144","Female","AI-Generated","NF-1049",0.5,0.666666666666667,0.666666666666667
"S144","Female","AI-Generated","NF-1065",0.5,0.666666666666667,0.666666666666667
"S144","Female","Photograph","NF-1045",0.666666666666667,0.5,0.5
"S144","Female","Photograph","NM-1027",0.666666666666667,0.166666666666667,0.166666666666667
"S144","Female","Photograph","NF-1017",0.5,0.5,0.5
"S144","Female","AI-Generated","NF-1023",0.666666666666667,0.666666666666667,0.666666666666667
"S144","Female","Photograph","NF-1036",0.666666666666667,0.666666666666667,0.833333333333333
"S144","Female","AI-Generated","NM-1070",0.333333333333333,0.333333333333333,0.333333333333333
"S144","Female","Photograph","NM-1029",0.666666666666667,0.333333333333333,0.333333333333333
"S144","Female","Photograph","NF-1059",0.5,0.5,0.5
"S144","Female","Photograph","NF-1021",0.166666666666667,0.5,0.666666666666667
"S144","Female","Photograph","NF-1105",0.5,0.5,0.5
"S144","Female","Photograph","NF-1024",0.5,0.5,0.5
"S144","Female","AI-Generated","NM-1019",0.5,0.333333333333333,0.333333333333333
"S144","Female","AI-Generated","NF-1041",0.666666666666667,0.5,0.5
"S144","Female","AI-Generated","NF-1030",0.5,0.5,0.5
"S144","Female","Photograph","NF-1048",0.333333333333333,0.5,0.666666666666667
"S144","Female","Photograph","NF-1110",0.666666666666667,0.333333333333333,0.5
"S144","Female","AI-Generated","NF-1028",0.5,0.5,0.5
"S144","Female","Photograph","NM-1092",0.5,0.333333333333333,0.333333333333333
"S144","Female","AI-Generated","NF-1002",0.5,0.5,0.666666666666667
"S144","Female","AI-Generated","NF-1087",0.666666666666667,0.333333333333333,0.333333333333333
"S144","Female","AI-Generated","NF-1047",0.333333333333333,0.5,0.5
"S144","Female","Photograph","NM-1010",0.333333333333333,0.333333333333333,0.333333333333333
"S144","Female","Photograph","NF-1084",0.666666666666667,0.833333333333333,0.833333333333333
"S144","Female","Photograph","NF-1039",0.5,0.666666666666667,0.666666666666667
"S144","Female","AI-Generated","NF-1072",0.666666666666667,0.666666666666667,0.666666666666667
"S144","Female","Photograph","NF-1094",0.666666666666667,0.666666666666667,0.666666666666667
"S144","Female","Photograph","NF-1018",0.5,0.666666666666667,0.666666666666667
"S144","Female","AI-Generated","NF-1086",0.5,0.5,0.5
"S144","Female","Photograph","NF-1020",0.666666666666667,0.5,0.5
"S144","Female","Photograph","NM-1033",0.5,0.333333333333333,0.5
"S144","Female","AI-Generated","NF-1068",0.666666666666667,0.5,0.5
"S144","Female","AI-Generated","NF-1106",0.333333333333333,0.666666666666667,0.666666666666667
"S144","Female","Photograph","NF-1062",0.5,0.5,0.5
"S144","Female","AI-Generated","NF-1081",0.5,0.5,0.5
"S144","Female","Photograph","NF-1079",0.833333333333333,0.5,0.666666666666667
"S144","Female","AI-Generated","NF-1067",0.333333333333333,0.5,0.5
"S144","Female","Photograph","NM-1035",0.666666666666667,0.333333333333333,0.5
"S144","Female","Photograph","NM-1064",0.5,0.333333333333333,0.5
"S144","Female","AI-Generated","NF-1080",0.333333333333333,0.666666666666667,0.5
"S144","Female","Photograph","NM-1052",0.5,0.166666666666667,0.333333333333333
"S144","Female","AI-Generated","NF-1085",0.5,0.5,0.5
"S144","Female","Photograph","NF-1101",0.333333333333333,0.5,0.666666666666667
"S144","Female","AI-Generated","NF-1004",0.5,0.5,0.5
"S144","Female","Photograph","NF-1043",0.666666666666667,0.666666666666667,0.666666666666667
"S144","Female","Photograph","NF-1088",0.666666666666667,0.666666666666667,0.5
"S144","Female","AI-Generated","NM-1055",0.833333333333333,0.333333333333333,0.333333333333333
"S144","Female","AI-Generated","NF-1083",0.833333333333333,0.5,0.5
"S144","Female","Photograph","NF-1073",0.5,0.5,0.5
"S144","Female","AI-Generated","NF-1098",0.5,0.5,0.5
"S144","Female","AI-Generated","NM-1090",0.333333333333333,0.5,0.5
"S144","Female","AI-Generated","NF-1108",0.333333333333333,0.666666666666667,0.666666666666667
"S144","Female","AI-Generated","NF-1053",0.333333333333333,0.5,0.5
"S144","Female","AI-Generated","NF-1031",0.666666666666667,0.5,0.5
"S144","Female","Photograph","NF-1012",0.333333333333333,0.333333333333333,0.333333333333333
"S144","Female","Photograph","NF-1013",0.666666666666667,0.5,0.5
"S177","Male","Photograph","NF-1024",0.166666666666667,0.166666666666667,0.166666666666667
"S177","Male","AI-Generated","NF-1107",0,0.166666666666667,0.333333333333333
"S177","Male","Photograph","NF-1006",1,0.333333333333333,0.166666666666667
"S177","Male","AI-Generated","NF-1079",0.333333333333333,0.666666666666667,0.666666666666667
"S177","Male","Photograph","NF-1060",1,0.166666666666667,0.333333333333333
"S177","Male","AI-Generated","NF-1009",0.333333333333333,0.5,0.5
"S177","Male","Photograph","NF-1063",0.166666666666667,0.333333333333333,0.833333333333333
"S177","Male","Photograph","NF-1105",0.833333333333333,0.5,0.833333333333333
